"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","TKM","Asia","Turkmenistan",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"2","TKM","Asia","Turkmenistan",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"3","TKM","Asia","Turkmenistan",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"4","TKM","Asia","Turkmenistan",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"5","TKM","Asia","Turkmenistan",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"6","TKM","Asia","Turkmenistan",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"7","TKM","Asia","Turkmenistan",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"8","TKM","Asia","Turkmenistan",2020-02-23,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"9","TKM","Asia","Turkmenistan",2020-03-01,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"10","TKM","Asia","Turkmenistan",2020-03-08,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"11","TKM","Asia","Turkmenistan",2020-03-15,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
"12","TKM","Asia","Turkmenistan",2020-03-22,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,12.253,26.9,4.277,2.541,16389.023,NA,536.783,7.11,NA,NA,100,7.4,68.19,0.715,6430777,NA,NA,NA,NA
